(0,27,1)

(1,21,2)

(2,24,3)

(3,23,4)

(4,1,5)

(5,26,6)

(6,6,7)

(7,28,8)

(8,5,9)

(9,5,10)

(10,14,11)

(11,23,12)

(12,9,13)

(13,11,14)

(14,2,15)

(15,1,16)

(16,20,17)

(17,24,18)

(18,1,19)

(19,8,20)

(20,19,21)

(21,25,22)

(22,7,23)

(23,22,24)

(24,28,25)

(25,22,26)

(26,29,27)

(27,28,28)

(28,16,29)

(29,18,30)

(30,8,31)

(31,16,32)

(32,17,33)

(33,8,34)

(34,14,35)

(35,3,36)

(36,15,37)

(37,20,38)

(38,14,39)

(39,6,40)

(40,4,41)

(41,25,42)

(42,5,43)

(43,25,44)

(44,24,45)

(45,4,46)

(46,21,47)

(47,12,48)

(48,6,49)

(49,10,50)

(50,27,51)

(51,22,52)

(52,20,53)

(53,7,54)

(54,13,55)

(55,8,56)

(56,16,57)

(57,21,58)

(58,10,59)

(59,21,60)

(60,28,61)

(61,4,62)

(62,9,63)

(63,1,64)

(64,28,65)

(65,5,66)

(66,21,67)

(67,30,68)

(68,27,69)

(69,27,70)

(70,11,71)

(71,4,72)

(72,9,73)

(73,28,74)

(74,5,75)

(75,17,76)

(76,14,77)

(77,4,78)

(78,14,79)

(79,28,80)

(80,3,81)

(81,22,82)

(82,23,83)

(83,17,84)

(84,30,85)

(85,30,86)

(86,2,87)

(87,11,88)

(88,8,89)

(89,25,90)

(90,19,91)

(91,2,92)

(92,5,93)

(93,30,94)

(94,29,95)

(95,7,96)

(96,19,97)

(97,22,98)

(98,14,99)

(99,11,100)

(100,13,101)

(101,10,102)

(102,6,103)

(103,11,104)

(104,13,105)

(105,3,106)

(106,5,107)

(107,20,108)

(108,29,109)

(109,20,110)

(110,3,111)

(111,11,112)

(112,11,113)

(113,6,114)

(114,3,115)

(115,15,116)

(116,5,117)

(117,1,118)

(118,1,119)

(119,30,120)

(120,16,121)

(121,4,122)

(122,29,123)

(123,15,124)

(124,26,125)

(125,3,126)

(126,15,127)

(127,25,128)

(128,17,129)

(129,20,130)

(130,20,131)

(131,22,132)

(132,13,133)

(133,30,134)

(134,26,135)

(135,11,136)

(136,13,137)

(137,24,138)

(138,4,139)

(139,7,140)

(140,3,141)

(141,28,142)

(142,5,143)

(143,2,144)

(144,3,145)

(145,9,146)

(146,7,147)

(147,5,148)

(148,17,149)

(149,19,150)

(150,7,151)

(151,6,152)

(152,24,153)

(153,10,154)

(154,13,155)

(155,4,156)

(156,11,157)

(157,2,158)

(158,5,159)

(159,4,160)

(160,9,161)

(161,9,162)

(162,18,163)

(163,6,164)

(164,30,165)

(165,17,166)

(166,13,167)

(167,9,168)

(168,10,169)

(169,7,170)

(170,12,171)

(171,30,172)

(172,11,173)

(173,29,174)

(174,3,175)

(175,16,176)

(176,23,177)

(177,7,178)

(178,11,179)

(179,19,180)

(180,20,181)

(181,14,182)

(182,30,183)

(183,14,184)

(184,3,185)

(185,27,186)

(186,23,187)

(187,22,188)

(188,29,189)

(189,20,190)

(190,24,191)

(191,28,192)

(192,1,193)

(193,19,194)

(194,29,195)

(195,26,196)

(196,28,197)

(197,30,198)

(198,19,199)

(199,16,200)

(200,14,201)

(201,12,202)

(202,15,203)

(203,19,204)

(204,1,205)

(205,16,206)

(206,19,207)

(207,16,208)

