(1,40,2)

(277,40,1026)

(631,38,1007)

(556,51,795)

(428,57,963)

(864,56,1497)

(449,56,555)

(893,56,1211)

(312,44,675)

(1049,48,1172)

(808,48,891)

(952,45,961)

(622,57,1322)

(332,31,1331)

(1361,52,1396)

(1018,31,1101)

(500,58,1071)

(316,59,981)

(1014,55,1330)

(524,34,581)

(731,51,1211)

(945,57,1085)

(206,59,860)

(199,33,766)

(816,56,877)

(304,59,943)

(742,45,963)

(159,55,511)

(931,55,976)

(374,40,1093)

(24,30,1056)

(1012,43,1108)

(556,41,1076)

(968,38,1232)

(918,33,1382)

(135,54,1246)

(493,30,1091)

(186,45,1054)

(1194,42,1282)

(781,46,1389)

(78,41,1383)

(845,34,914)

(993,33,1313)

(749,56,1051)

(1010,48,1458)

(321,43,804)

(446,39,790)

(933,55,1427)

(683,39,982)

(819,39,929)

(452,45,1279)

(342,43,1116)

(570,51,745)

(503,50,601)

(362,47,1187)

(982,57,1155)

(575,39,1339)

(850,30,1224)

(117,56,796)

(1306,36,1353)

(601,42,686)

(74,51,1461)

(1055,51,1435)

(99,39,882)

(938,54,1133)

(39,39,130)

(638,51,1215)

(795,38,1063)

(925,35,1099)

(44,57,898)

(1006,42,1377)

(621,59,869)

(624,53,1467)

(635,37,733)

(500,52,1291)

(1070,46,1228)

(835,44,1444)

(693,47,1370)

(1171,50,1286)

(89,47,934)

(1286,58,1378)
